Epoch	Train loss	Test loss	Train Acc	Test Acc
1	1.680	1.342	40.590	51.710
2	1.121	1.341	59.878	55.060
3	0.905	0.944	68.106	67.670
4	0.759	0.854	73.480	70.750
5	0.670	0.743	76.616	75.020
6	0.620	0.662	78.528	77.530
7	0.593	0.680	79.606	77.570
8	0.555	0.781	81.026	73.110
9	0.548	0.682	81.238	76.570
10	0.537	0.709	81.588	75.970
11	0.529	1.201	81.980	64.630
12	0.519	0.799	82.232	73.300
13	0.509	0.748	82.268	74.550
14	0.497	0.761	82.938	75.220
15	0.497	0.614	82.894	79.390
16	0.488	0.742	83.374	75.590
17	0.476	0.575	83.822	81.070
18	0.478	0.596	83.668	79.830
19	0.467	0.773	83.942	74.770
20	0.465	0.621	83.958	80.280
21	0.456	0.614	84.342	79.000
22	0.457	0.642	84.370	78.540
23	0.443	0.666	85.024	78.890
24	0.448	0.552	84.618	81.720
25	0.440	0.592	84.712	80.620
26	0.441	1.105	84.860	68.530
27	0.435	0.581	84.916	80.440
28	0.432	0.566	85.200	81.370
29	0.431	0.660	85.100	78.480
30	0.425	0.585	85.292	80.770
31	0.422	0.614	85.530	79.970
32	0.254	0.268	91.320	90.980
33	0.199	0.256	93.208	91.520
34	0.180	0.244	93.770	91.930
35	0.166	0.249	94.288	91.640
36	0.154	0.241	94.666	91.850
37	0.141	0.246	95.140	92.060
38	0.135	0.241	95.484	92.260
39	0.130	0.249	95.554	91.940
40	0.123	0.257	95.730	91.750
41	0.119	0.245	95.882	92.150
42	0.111	0.260	96.130	91.950
43	0.106	0.252	96.278	92.010
44	0.103	0.258	96.440	91.930
45	0.099	0.261	96.566	92.110
46	0.101	0.271	96.452	91.850
47	0.069	0.232	97.756	92.940
48	0.059	0.233	98.138	92.870
49	0.054	0.232	98.298	93.000
50	0.049	0.232	98.540	93.140
51	0.046	0.233	98.624	93.140
52	0.045	0.237	98.572	93.050
53	0.043	0.240	98.680	92.970
54	0.041	0.241	98.786	93.050
55	0.041	0.246	98.808	93.090
56	0.038	0.244	98.932	93.120
57	0.037	0.242	98.914	93.330
58	0.035	0.243	98.932	93.220
59	0.034	0.247	99.028	93.220
60	0.034	0.252	99.036	93.130
