Epoch	Train loss	Test loss	Train Acc	Test Acc
1	3.800	3.382	12.110	18.480
2	3.216	3.222	21.116	21.970
3	2.931	2.751	26.506	30.250
4	2.706	2.876	30.616	29.100
5	2.531	2.578	33.988	33.990
6	2.383	2.520	37.088	34.390
7	2.268	2.570	39.512	33.980
8	2.202	2.310	40.922	38.700
9	2.144	2.318	42.336	38.790
10	2.101	2.297	43.418	39.660
11	2.060	2.253	43.942	41.160
12	2.014	2.357	45.076	38.280
13	1.982	2.283	46.018	40.040
14	1.952	2.578	46.526	36.390
15	1.933	2.293	47.278	40.670
16	1.902	2.297	47.930	41.320
17	1.883	2.274	48.068	40.250
18	1.847	2.495	49.036	37.050
19	1.820	2.344	49.666	41.170
20	1.814	2.353	49.830	40.510
21	1.786	2.505	50.500	37.520
22	1.770	2.023	50.682	45.980
23	1.739	2.171	51.396	43.110
24	1.714	2.270	52.120	42.990
25	1.717	2.241	52.130	42.920
26	1.698	2.254	52.576	43.420
27	1.688	2.271	52.814	43.790
28	1.676	2.239	53.102	43.560
29	1.659	1.862	53.452	48.960
30	1.639	2.134	53.926	45.120
31	1.642	2.039	54.154	45.900
32	1.212	1.246	65.324	64.140
33	1.077	1.224	68.742	65.320
34	1.024	1.198	69.860	65.980
35	0.984	1.206	71.280	65.950
36	0.956	1.199	71.770	65.900
37	0.928	1.190	72.412	66.470
38	0.912	1.210	72.856	66.200
39	0.889	1.195	73.556	66.340
40	0.863	1.217	74.230	66.350
41	0.847	1.239	74.786	65.820
42	0.829	1.214	75.048	66.300
43	0.812	1.220	75.610	66.260
44	0.802	1.213	75.932	66.590
45	0.790	1.235	76.170	66.390
46	0.785	1.252	76.136	65.850
47	0.662	1.122	80.116	69.230
48	0.623	1.122	81.438	69.190
49	0.612	1.127	81.728	69.380
50	0.603	1.131	81.976	69.110
51	0.597	1.134	82.168	69.200
52	0.586	1.138	82.434	69.080
53	0.582	1.148	82.556	69.170
54	0.577	1.145	82.684	69.060
55	0.572	1.149	82.824	68.990
56	0.561	1.150	83.022	69.090
57	0.559	1.155	83.190	69.150
58	0.552	1.156	83.528	69.080
59	0.547	1.165	83.426	68.750
60	0.541	1.160	83.646	68.860
