Epoch	Train loss	Test loss	Train Acc	Test Acc
1	2.559	1.876	17.826	28.190
2	1.798	1.603	31.834	39.100
3	1.567	1.566	41.992	43.480
4	1.339	1.255	51.212	54.640
5	1.151	1.099	58.602	60.580
6	1.023	1.133	63.584	60.540
7	0.916	0.907	67.342	68.280
8	0.828	0.874	70.944	69.430
9	0.741	1.008	73.918	65.570
10	0.697	0.743	75.856	74.870
11	0.642	0.740	77.722	75.400
12	0.621	1.021	78.646	68.060
13	0.593	0.663	79.542	77.460
14	0.570	0.752	80.458	73.990
15	0.553	0.659	80.892	77.210
16	0.552	0.720	80.940	76.130
17	0.527	0.649	81.926	79.350
18	0.520	0.633	82.210	78.010
19	0.508	0.700	82.472	77.120
20	0.497	0.698	82.874	77.510
21	0.491	0.648	83.080	78.100
22	0.484	0.886	83.362	73.820
23	0.474	0.602	83.716	79.480
24	0.473	0.635	83.722	78.310
25	0.466	0.726	84.080	76.770
26	0.451	0.618	84.674	79.420
27	0.458	0.804	84.190	73.630
28	0.447	0.642	84.818	78.290
29	0.437	0.872	84.892	73.350
30	0.443	0.690	84.744	77.640
31	0.433	0.702	85.136	78.470
32	0.268	0.272	90.938	90.460
33	0.205	0.259	92.950	90.960
34	0.181	0.244	93.738	91.680
35	0.162	0.247	94.406	91.560
36	0.150	0.248	94.842	91.600
37	0.138	0.240	95.298	92.260
38	0.129	0.263	95.536	91.520
39	0.120	0.268	95.892	91.510
40	0.114	0.257	96.112	91.830
41	0.109	0.264	96.194	91.650
42	0.103	0.260	96.448	91.770
43	0.097	0.266	96.714	91.780
44	0.094	0.276	96.792	91.610
45	0.091	0.285	96.722	91.700
46	0.088	0.285	96.922	91.590
47	0.086	0.292	97.004	91.140
48	0.083	0.289	97.080	91.870
49	0.082	0.286	97.188	92.160
50	0.081	0.268	97.210	91.930
51	0.081	0.286	97.206	91.880
52	0.045	0.229	98.584	93.310
53	0.031	0.226	99.132	93.410
54	0.026	0.229	99.272	93.540
55	0.025	0.233	99.338	93.440
56	0.021	0.233	99.444	93.440
57	0.020	0.239	99.458	93.500
58	0.020	0.239	99.452	93.470
59	0.017	0.239	99.572	93.660
60	0.016	0.245	99.610	93.480
