Epoch	Train loss	Test loss	Train Acc	Test Acc
1	1.648	1.352	41.996	51.680
2	1.095	1.131	60.444	60.490
3	0.887	1.203	68.598	61.130
4	0.745	0.887	73.790	71.180
5	0.638	0.862	77.818	70.630
6	0.574	0.910	79.994	70.450
7	0.529	0.602	81.656	79.820
8	0.491	0.773	83.006	73.620
9	0.467	0.660	83.924	78.410
10	0.446	0.582	84.696	80.440
11	0.430	0.610	85.164	79.550
12	0.420	0.553	85.492	81.340
13	0.396	0.567	86.544	80.870
14	0.398	0.700	86.282	77.770
15	0.384	0.646	86.890	79.110
16	0.381	0.523	86.948	82.220
17	0.370	0.770	87.246	74.790
18	0.372	0.504	87.202	82.780
19	0.373	0.601	87.092	79.920
20	0.361	0.545	87.598	81.770
21	0.361	0.480	87.680	83.870
22	0.355	0.493	87.734	83.680
23	0.355	0.458	87.882	85.110
24	0.352	0.610	87.676	80.390
25	0.347	0.527	88.156	82.610
26	0.336	0.466	88.530	84.910
27	0.330	0.535	88.668	82.050
28	0.334	0.509	88.500	83.210
29	0.332	0.569	88.560	81.850
30	0.331	0.608	88.714	80.510
31	0.327	0.459	88.926	84.660
32	0.176	0.214	94.150	92.710
33	0.125	0.200	95.970	93.200
34	0.106	0.199	96.490	93.310
35	0.092	0.200	96.944	93.550
36	0.082	0.205	97.378	93.380
37	0.072	0.207	97.684	93.370
38	0.061	0.208	98.034	93.440
39	0.057	0.222	98.106	93.350
40	0.051	0.217	98.296	93.450
41	0.048	0.217	98.484	93.850
42	0.043	0.239	98.628	93.220
43	0.039	0.230	98.792	93.430
44	0.038	0.242	98.812	93.220
45	0.037	0.240	98.884	93.320
46	0.033	0.230	98.964	93.640
47	0.035	0.235	98.916	93.700
48	0.030	0.264	99.076	92.930
49	0.032	0.251	98.990	93.420
50	0.031	0.251	99.030	93.130
51	0.031	0.252	99.018	93.470
52	0.020	0.226	99.480	94.100
53	0.013	0.225	99.682	94.050
54	0.012	0.225	99.722	94.110
55	0.011	0.226	99.758	94.170
56	0.010	0.226	99.814	94.160
57	0.009	0.226	99.822	94.170
58	0.009	0.225	99.838	94.310
59	0.008	0.227	99.858	94.320
60	0.008	0.226	99.822	94.370
