Epoch	Train loss	Test loss	Train Acc	Test Acc
1	3.917	3.622	9.834	13.470
2	3.212	3.172	20.386	23.200
3	2.590	2.526	32.420	34.090
4	2.157	2.213	41.684	41.650
5	1.897	2.087	47.506	43.670
6	1.721	1.945	51.940	47.010
7	1.590	1.937	54.980	48.960
8	1.496	1.761	57.276	52.520
9	1.421	1.715	59.738	53.020
10	1.358	1.801	61.222	52.590
11	1.301	1.623	62.624	55.410
12	1.255	1.711	63.664	54.510
13	1.210	1.521	64.914	57.860
14	1.183	1.670	65.588	55.210
15	1.146	1.548	66.410	58.460
16	1.131	1.610	67.076	56.670
17	1.115	1.587	67.488	58.260
18	1.099	1.547	67.776	59.100
19	1.087	1.743	68.002	55.160
20	1.068	1.468	68.702	60.060
21	1.051	1.544	69.332	58.040
22	1.038	1.542	69.238	58.350
23	1.030	1.635	69.700	56.660
24	1.014	1.598	70.262	58.180
25	1.001	1.538	70.782	57.920
26	0.985	1.525	70.852	59.920
27	0.988	1.526	70.784	59.550
28	0.966	1.861	71.550	53.090
29	0.971	1.733	71.254	56.480
30	0.955	1.545	71.716	59.580
31	0.959	1.543	71.570	59.240
32	0.527	0.816	84.544	76.360
33	0.376	0.800	88.980	76.820
34	0.313	0.808	90.888	76.920
35	0.265	0.805	92.408	77.580
36	0.228	0.825	93.684	77.080
37	0.196	0.828	94.622	77.400
38	0.165	0.862	95.632	77.090
39	0.140	0.866	96.562	77.280
40	0.120	0.888	97.116	76.960
41	0.103	0.899	97.606	76.930
42	0.094	0.899	97.830	76.760
43	0.081	0.925	98.276	76.770
44	0.072	0.932	98.536	76.820
45	0.067	0.952	98.626	76.960
46	0.060	0.935	98.832	77.110
47	0.055	0.948	98.924	76.860
48	0.055	0.968	98.914	76.920
49	0.051	0.977	99.036	76.800
50	0.049	0.980	99.080	76.570
51	0.048	0.985	99.098	76.630
52	0.032	0.926	99.514	77.870
53	0.024	0.918	99.732	77.890
54	0.021	0.918	99.790	78.090
55	0.020	0.917	99.790	78.070
56	0.018	0.912	99.842	78.090
57	0.017	0.912	99.888	78.310
58	0.017	0.916	99.878	78.190
59	0.016	0.915	99.898	78.210
60	0.015	0.913	99.900	78.080
