Epoch	Train loss	Test loss	Train Acc	Test Acc
1	3.720	3.358	12.934	18.360
2	2.997	2.773	24.626	29.510
3	2.478	2.519	34.576	34.390
4	2.155	2.181	41.660	41.550
5	1.939	2.227	46.926	42.590
6	1.777	2.036	50.364	46.060
7	1.664	1.835	53.498	49.740
8	1.568	1.924	55.712	48.370
9	1.488	1.852	57.808	49.980
10	1.423	1.868	59.378	50.170
11	1.368	1.714	60.778	53.210
12	1.321	1.741	62.212	53.510
13	1.291	1.657	62.792	55.360
14	1.264	1.743	63.688	52.520
15	1.243	2.043	64.158	48.390
16	1.216	1.822	64.754	53.600
17	1.200	1.878	65.424	51.720
18	1.181	1.957	65.476	50.410
19	1.169	1.859	65.916	52.990
20	1.154	1.814	66.312	53.180
21	1.146	1.445	66.576	59.780
22	1.127	1.618	67.186	56.420
23	1.120	1.490	67.164	59.160
24	1.101	1.724	68.108	55.650
25	1.095	1.610	68.154	57.420
26	1.092	1.575	68.006	58.170
27	1.077	1.759	68.416	54.210
28	1.078	1.809	68.720	54.070
29	1.057	1.582	69.080	58.230
30	1.063	1.514	69.026	58.540
31	1.040	1.603	69.442	57.570
32	0.617	0.853	81.928	75.340
33	0.467	0.828	86.428	76.170
34	0.400	0.833	88.298	76.160
35	0.353	0.836	89.738	76.390
36	0.315	0.851	90.990	76.380
37	0.277	0.870	92.178	75.870
38	0.245	0.877	93.022	76.390
39	0.216	0.882	93.968	76.750
40	0.189	0.912	94.746	76.420
41	0.169	0.937	95.464	75.640
42	0.152	0.962	96.014	75.580
43	0.135	0.956	96.516	75.890
44	0.123	0.981	96.884	75.900
45	0.116	0.987	97.040	75.690
46	0.106	1.001	97.418	75.500
47	0.096	1.002	97.672	75.600
48	0.092	1.024	97.856	74.940
49	0.091	1.029	97.730	75.150
50	0.088	1.034	97.808	75.430
51	0.087	1.074	97.918	74.340
52	0.054	0.969	98.990	76.710
53	0.039	0.967	99.398	76.950
54	0.034	0.965	99.576	76.900
55	0.031	0.964	99.612	76.930
56	0.029	0.963	99.682	77.090
57	0.027	0.969	99.714	76.950
58	0.025	0.966	99.742	77.250
59	0.025	0.967	99.742	77.090
60	0.023	0.964	99.794	77.180
