Epoch	Train loss	Test loss	Train Acc	Test Acc
1	3.750	3.403	12.734	18.020
2	3.044	2.928	24.218	26.390
3	2.624	2.957	32.208	29.150
4	2.340	2.439	37.980	36.860
5	2.153	2.418	41.670	37.770
6	2.035	2.282	44.592	41.460
7	1.950	2.530	46.604	36.330
8	1.885	2.079	48.208	45.090
9	1.826	2.306	49.372	39.860
10	1.779	2.163	50.550	44.300
11	1.742	2.216	51.758	42.670
12	1.714	1.980	52.002	47.020
13	1.686	2.035	53.036	46.770
14	1.657	2.059	53.410	46.670
15	1.635	1.880	54.010	49.890
16	1.617	1.874	54.488	47.950
17	1.584	1.956	55.516	48.850
18	1.571	1.996	55.722	47.720
19	1.559	1.922	56.016	49.710
20	1.538	1.928	56.350	49.230
21	1.524	2.149	56.988	46.410
22	1.513	1.862	57.120	50.690
23	1.490	1.744	57.746	53.080
24	1.493	1.819	57.604	50.960
25	1.472	1.929	58.008	49.200
26	1.466	1.798	58.248	51.870
27	1.449	1.731	58.718	53.030
28	1.441	1.814	58.992	51.070
29	1.437	1.959	58.902	50.090
30	1.427	1.923	59.020	49.880
31	1.417	1.770	59.560	52.470
32	0.970	1.069	71.654	68.950
33	0.823	1.044	75.414	70.230
34	0.767	1.039	76.992	70.150
35	0.723	1.030	78.124	70.620
36	0.679	1.052	79.360	70.250
37	0.649	1.066	80.208	70.610
38	0.630	1.064	80.736	70.300
39	0.601	1.103	81.452	69.610
40	0.577	1.084	82.000	70.410
41	0.552	1.096	82.996	70.150
42	0.536	1.116	83.218	70.230
43	0.520	1.163	83.856	69.330
44	0.507	1.131	84.138	70.220
45	0.495	1.197	84.352	69.050
46	0.488	1.142	84.704	70.300
47	0.363	1.036	88.988	72.820
48	0.319	1.048	90.642	72.580
49	0.294	1.055	91.490	72.800
50	0.284	1.065	91.790	72.660
51	0.273	1.076	92.136	72.620
52	0.262	1.078	92.428	72.520
53	0.256	1.095	92.604	72.520
54	0.247	1.107	92.876	72.360
55	0.238	1.108	93.140	72.620
56	0.233	1.121	93.302	72.340
57	0.228	1.129	93.486	72.700
58	0.221	1.134	93.650	72.400
59	0.215	1.144	93.986	72.370
60	0.211	1.151	93.998	72.280
