Epoch	Train loss	Test loss	Train Acc	Test Acc
1	3.230	1.769	23.484	32.070
2	1.623	1.774	38.312	38.970
3	1.398	1.320	48.166	51.130
4	1.223	1.259	55.456	54.650
5	1.076	1.142	61.472	60.030
6	0.969	1.002	65.526	64.840
7	0.891	1.134	68.602	60.870
8	0.815	0.898	71.150	69.000
9	0.744	0.844	74.068	70.350
10	0.683	0.741	76.378	74.750
11	0.649	1.024	77.478	68.280
12	0.612	0.829	78.940	72.440
13	0.596	0.733	79.408	76.010
14	0.580	0.704	80.182	76.120
15	0.562	0.717	80.628	75.590
16	0.548	0.758	81.086	75.120
17	0.530	0.647	81.898	77.340
18	0.527	0.787	81.820	74.140
19	0.508	0.676	82.528	77.850
20	0.501	1.094	82.726	67.410
21	0.493	0.712	83.062	76.800
22	0.489	0.702	83.220	77.520
23	0.479	0.693	83.576	78.010
24	0.473	0.728	83.626	75.660
25	0.472	0.776	83.572	74.880
26	0.465	0.672	83.976	77.710
27	0.467	0.548	84.004	81.550
28	0.451	0.729	84.646	77.130
29	0.445	0.737	84.576	76.540
30	0.451	0.900	84.744	72.790
31	0.446	0.743	84.670	76.670
32	0.271	0.293	90.768	89.970
33	0.215	0.263	92.668	90.800
34	0.193	0.257	93.358	91.210
35	0.179	0.253	94.026	91.340
36	0.166	0.248	94.336	91.840
37	0.155	0.244	94.630	91.570
38	0.144	0.253	95.022	91.690
39	0.134	0.251	95.404	91.750
40	0.129	0.265	95.658	91.770
41	0.120	0.275	95.866	91.480
42	0.116	0.264	96.036	91.740
43	0.110	0.264	96.250	91.940
44	0.104	0.270	96.462	91.660
45	0.098	0.266	96.596	91.740
46	0.100	0.286	96.578	91.190
47	0.093	0.275	96.898	91.440
48	0.092	0.306	96.804	90.870
49	0.088	0.280	96.938	91.760
50	0.085	0.274	97.086	91.750
51	0.085	0.320	97.080	91.070
52	0.053	0.248	98.316	92.760
53	0.041	0.245	98.850	92.900
54	0.035	0.249	99.016	92.790
55	0.032	0.247	99.172	93.040
56	0.030	0.250	99.226	93.000
57	0.029	0.256	99.196	92.890
58	0.027	0.255	99.338	93.080
59	0.026	0.256	99.280	93.150
60	0.025	0.261	99.308	93.080
