Epoch	Train loss	Test loss	Train Acc	Test Acc
1	4.966	4.404	1.730	2.890
2	4.122	3.946	5.340	6.980
3	3.833	3.703	8.798	11.650
4	3.571	3.579	13.472	14.140
5	3.257	3.195	19.140	20.220
6	2.975	2.966	24.606	24.470
7	2.698	2.684	29.918	30.510
8	2.440	2.905	35.210	27.280
9	2.217	2.223	40.508	40.310
10	2.031	2.126	44.602	42.850
11	1.891	2.054	47.768	45.240
12	1.778	2.061	50.540	45.310
13	1.694	2.044	52.494	46.490
14	1.637	1.873	54.126	49.390
15	1.577	1.965	55.258	47.120
16	1.521	2.127	56.778	45.680
17	1.478	1.948	57.974	49.540
18	1.436	2.193	59.240	46.490
19	1.398	1.855	60.090	51.860
20	1.370	1.978	60.660	49.330
21	1.343	2.295	61.542	45.540
22	1.308	1.748	62.176	52.840
23	1.292	1.764	62.770	54.090
24	1.267	1.981	63.482	50.290
25	1.249	1.742	63.842	53.670
26	1.231	1.753	64.502	53.880
27	1.223	1.750	64.760	53.630
28	1.199	1.636	65.294	56.200
29	1.184	1.846	65.610	52.650
30	1.168	1.690	66.260	56.060
31	1.171	1.692	66.152	56.120
32	0.689	0.891	79.774	74.220
33	0.535	0.876	83.826	74.990
34	0.468	0.867	85.712	75.790
35	0.414	0.890	87.296	75.620
36	0.373	0.890	88.362	75.820
37	0.327	0.912	90.070	75.720
38	0.295	0.948	90.866	75.420
39	0.259	0.998	91.860	75.030
40	0.228	1.028	92.966	74.800
41	0.214	1.051	93.340	74.860
42	0.187	1.082	94.192	74.860
43	0.169	1.098	94.846	74.490
44	0.163	1.104	94.964	74.780
45	0.147	1.084	95.504	74.630
46	0.139	1.172	95.772	74.200
47	0.134	1.169	95.914	74.060
48	0.120	1.160	96.448	74.170
49	0.115	1.142	96.626	74.590
50	0.110	1.189	96.692	73.970
51	0.112	1.171	96.582	74.060
52	0.058	1.037	98.542	76.630
53	0.037	1.040	99.228	76.720
54	0.031	1.041	99.424	77.140
55	0.028	1.048	99.522	76.880
56	0.025	1.049	99.584	76.870
57	0.022	1.053	99.698	76.980
58	0.022	1.061	99.664	76.950
59	0.020	1.065	99.700	76.870
60	0.019	1.069	99.736	76.940
