Epoch	Train loss	Test loss	Train Acc	Test Acc
1	2.677	1.934	15.220	25.890
2	1.831	1.594	30.196	40.750
3	1.502	1.366	44.646	49.970
4	1.244	1.107	54.704	59.340
5	1.088	1.060	60.936	62.230
6	0.950	0.987	66.388	67.400
7	0.828	0.836	70.850	70.280
8	0.744	0.800	74.040	72.370
9	0.686	0.670	76.240	77.000
10	0.645	0.634	77.722	78.260
11	0.606	0.715	78.960	75.510
12	0.590	0.958	79.664	70.300
13	0.571	0.717	80.320	75.450
14	0.561	0.863	80.642	72.100
15	0.548	0.716	81.260	75.010
16	0.537	0.808	81.606	73.140
17	0.522	0.608	82.154	80.620
18	0.514	0.576	82.286	80.050
19	0.501	0.583	82.876	80.370
20	0.493	0.580	83.004	80.890
21	0.482	0.631	83.412	78.920
22	0.477	0.733	83.676	77.630
23	0.472	0.747	84.004	76.180
24	0.465	0.605	84.086	79.280
25	0.461	0.639	84.184	78.870
26	0.455	0.759	84.404	74.850
27	0.444	0.952	84.856	70.800
28	0.444	0.676	84.886	77.980
29	0.440	0.945	84.900	71.990
30	0.438	0.651	84.968	77.800
31	0.428	0.656	85.330	79.460
32	0.258	0.258	91.302	90.990
33	0.200	0.249	93.222	91.300
34	0.180	0.241	93.842	91.900
35	0.161	0.239	94.442	92.010
36	0.149	0.239	94.850	91.930
37	0.138	0.235	95.236	92.100
38	0.131	0.241	95.498	91.860
39	0.120	0.260	95.814	91.850
40	0.112	0.253	96.090	92.200
41	0.113	0.246	96.074	92.060
42	0.103	0.253	96.456	92.340
43	0.101	0.262	96.468	91.920
44	0.093	0.272	96.870	91.680
45	0.091	0.248	96.852	92.500
46	0.089	0.285	96.902	91.750
47	0.086	0.271	96.966	92.000
48	0.085	0.280	97.040	91.800
49	0.084	0.286	97.110	91.620
50	0.083	0.291	97.102	91.450
51	0.077	0.292	97.378	91.460
52	0.046	0.227	98.544	93.440
53	0.031	0.223	99.078	93.570
54	0.027	0.225	99.278	93.630
55	0.024	0.227	99.330	93.610
56	0.024	0.229	99.320	93.600
57	0.020	0.232	99.468	93.600
58	0.020	0.232	99.464	93.590
59	0.017	0.237	99.566	93.540
60	0.015	0.241	99.644	93.680
