Epoch	Train loss	Test loss	Train Acc	Test Acc
1	4.595	4.156	2.316	5.100
2	3.975	3.767	7.366	10.030
3	3.576	3.324	13.768	19.010
4	3.194	3.121	20.996	24.400
5	2.832	2.810	28.108	29.010
6	2.515	2.479	34.302	35.420
7	2.271	2.342	39.488	38.770
8	2.095	2.166	43.228	41.580
9	1.957	2.097	46.402	43.350
10	1.841	2.210	49.090	42.520
11	1.754	2.198	51.004	43.090
12	1.674	2.000	53.108	46.730
13	1.608	2.033	54.632	47.270
14	1.561	1.832	56.012	50.790
15	1.513	1.752	57.114	52.340
16	1.479	1.885	57.922	49.370
17	1.444	1.763	58.756	53.610
18	1.414	1.887	59.630	50.250
19	1.378	1.956	60.590	48.640
20	1.369	1.593	60.536	55.990
21	1.340	1.777	61.566	52.990
22	1.322	1.634	61.702	55.300
23	1.301	1.753	62.442	53.620
24	1.288	1.710	62.664	54.190
25	1.266	1.910	63.402	51.220
26	1.246	1.794	63.986	51.860
27	1.234	1.801	64.316	52.250
28	1.224	1.822	64.486	52.160
29	1.212	2.021	64.878	49.500
30	1.197	1.673	65.132	55.870
31	1.189	1.807	65.588	53.060
32	0.736	0.942	78.356	72.150
33	0.581	0.920	82.638	73.500
34	0.517	0.908	84.292	73.830
35	0.468	0.914	85.714	74.200
36	0.424	0.926	87.030	73.860
37	0.386	0.937	88.276	74.030
38	0.354	0.946	89.132	74.330
39	0.325	0.969	89.938	74.150
40	0.295	1.000	90.972	73.460
41	0.283	1.027	91.232	73.830
42	0.253	1.068	92.212	73.050
43	0.237	1.041	92.904	73.240
44	0.220	1.075	93.320	73.420
45	0.209	1.100	93.580	72.820
46	0.197	1.119	93.992	72.770
47	0.187	1.109	94.384	72.830
48	0.181	1.095	94.408	73.250
49	0.174	1.131	94.740	72.960
50	0.170	1.148	94.772	72.720
51	0.168	1.172	94.988	72.650
52	0.097	1.019	97.594	75.580
53	0.066	1.009	98.624	75.980
54	0.058	1.017	98.890	76.020
55	0.050	1.019	99.092	75.940
56	0.047	1.017	99.122	76.200
57	0.044	1.024	99.256	76.240
58	0.040	1.034	99.346	76.050
59	0.039	1.029	99.372	76.120
60	0.037	1.029	99.378	76.060
