Epoch	Train loss	Test loss	Train Acc	Test Acc
1	2.781	2.148	16.824	20.930
2	1.974	1.893	26.158	28.990
3	1.802	1.689	32.612	36.920
4	1.645	1.586	39.880	42.500
5	1.494	1.498	45.976	46.940
6	1.356	1.522	51.110	47.170
7	1.228	1.261	55.956	55.720
8	1.110	1.272	60.406	56.710
9	1.034	1.132	63.478	62.000
10	0.963	1.014	66.248	65.380
11	0.911	1.095	68.000	64.800
12	0.882	0.894	69.174	68.580
13	0.860	1.014	70.286	66.860
14	0.829	1.035	71.014	64.770
15	0.820	0.877	71.402	69.920
16	0.805	0.860	72.168	71.170
17	0.787	1.064	72.534	65.900
18	0.777	0.873	73.080	70.140
19	0.761	0.804	73.664	72.410
20	0.756	0.888	73.616	69.560
21	0.748	0.859	73.964	70.390
22	0.722	0.928	75.070	69.300
23	0.723	0.873	74.692	69.490
24	0.712	0.769	75.276	73.800
25	0.735	1.224	74.484	59.270
26	0.787	0.944	72.534	66.600
27	0.716	0.927	75.352	68.970
28	0.698	1.015	75.814	67.340
29	0.685	0.834	76.086	72.810
30	0.678	0.990	76.512	67.410
31	0.665	0.828	77.046	71.750
32	0.452	0.445	84.424	84.470
33	0.383	0.423	86.542	85.830
34	0.351	0.420	87.766	86.320
35	0.330	0.407	88.548	86.380
36	0.312	0.394	89.082	86.860
37	0.295	0.409	89.768	86.370
38	0.285	0.398	90.132	86.770
39	0.270	0.401	90.662	86.760
40	0.260	0.393	90.944	87.080
41	0.252	0.399	91.316	86.990
42	0.240	0.392	91.600	87.420
43	0.236	0.425	91.746	86.430
44	0.224	0.405	92.136	86.680
45	0.218	0.402	92.244	87.570
46	0.214	0.466	92.382	85.890
47	0.209	0.418	92.712	87.100
48	0.201	0.491	92.832	85.570
49	0.198	0.452	93.058	86.670
50	0.191	0.414	93.344	87.270
51	0.189	0.429	93.294	86.910
52	0.126	0.343	95.726	89.560
53	0.096	0.346	96.940	89.670
54	0.085	0.348	97.306	89.980
55	0.078	0.352	97.540	89.800
56	0.071	0.362	97.800	89.770
57	0.068	0.367	97.858	89.800
58	0.062	0.367	98.130	89.810
59	0.058	0.375	98.300	89.920
60	0.055	0.384	98.280	89.700
