Epoch	Train loss	Test loss	Train Acc	Test Acc
1	1.839	1.323	37.994	51.770
2	1.174	0.961	57.494	65.420
3	0.961	1.292	65.622	58.840
4	0.834	0.967	70.288	67.560
5	0.741	0.765	73.982	73.530
6	0.671	0.800	76.848	72.820
7	0.626	0.779	78.202	73.910
8	0.588	0.756	79.610	73.940
9	0.570	0.779	80.390	74.100
10	0.554	0.782	80.816	75.970
11	0.535	0.761	81.526	74.180
12	0.525	0.601	81.808	79.890
13	0.514	0.995	82.494	69.710
14	0.511	0.681	82.444	77.030
15	0.504	0.601	82.656	79.760
16	0.492	0.817	83.060	73.330
17	0.492	0.962	82.974	71.280
18	0.482	0.662	83.302	78.380
19	0.473	0.800	83.710	74.070
20	0.467	0.684	83.728	77.800
21	0.468	0.502	84.002	82.820
22	0.460	0.668	84.266	78.330
23	0.455	0.815	84.304	74.730
24	0.451	0.554	84.492	81.490
25	0.448	0.766	84.488	74.610
26	0.441	1.004	84.948	70.360
27	0.447	0.683	84.680	77.080
28	0.436	0.802	85.112	73.990
29	0.440	0.593	84.852	80.550
30	0.441	0.574	84.744	80.580
31	0.425	0.900	85.448	75.260
32	0.258	0.283	91.054	90.650
33	0.208	0.276	92.950	90.920
34	0.190	0.267	93.408	91.140
35	0.175	0.269	93.942	91.230
36	0.163	0.268	94.450	91.650
37	0.155	0.261	94.702	91.470
38	0.145	0.264	94.888	91.730
39	0.137	0.279	95.350	91.050
40	0.130	0.265	95.476	91.610
41	0.121	0.275	95.802	91.570
42	0.121	0.289	95.720	91.360
43	0.114	0.284	96.010	91.270
44	0.112	0.291	96.052	91.380
45	0.110	0.290	96.162	91.580
46	0.099	0.304	96.646	91.110
47	0.101	0.303	96.528	91.490
48	0.098	0.308	96.620	91.400
49	0.100	0.287	96.532	91.140
50	0.096	0.292	96.642	91.470
51	0.093	0.298	96.792	90.970
52	0.059	0.246	98.126	92.930
53	0.048	0.250	98.532	92.890
54	0.040	0.247	98.800	92.870
55	0.039	0.250	98.872	92.850
56	0.036	0.256	98.970	92.860
57	0.035	0.256	99.014	92.760
58	0.033	0.261	99.138	92.640
59	0.031	0.267	99.146	92.690
60	0.031	0.262	99.120	92.800
