Epoch	Train loss	Test loss	Train Acc	Test Acc
1	3.184	1.978	15.884	24.370
2	1.888	1.686	26.548	35.220
3	1.651	1.556	37.328	41.630
4	1.492	1.418	44.704	47.360
5	1.338	1.338	50.966	50.870
6	1.196	1.215	56.412	56.230
7	1.087	1.084	60.964	61.830
8	0.998	0.941	64.364	66.350
9	0.920	0.953	67.380	65.940
10	0.864	0.877	69.480	69.750
11	0.800	0.982	71.906	66.950
12	0.766	0.835	73.252	70.380
13	0.733	0.857	74.244	70.480
14	0.694	1.096	75.742	65.240
15	0.676	1.006	76.230	67.270
16	0.653	0.758	77.306	73.900
17	0.631	0.768	78.186	73.900
18	0.608	0.793	79.062	73.980
19	0.592	0.738	79.390	75.290
20	0.572	0.737	80.198	75.070
21	0.559	0.833	80.550	74.400
22	0.543	0.689	81.392	76.560
23	0.532	0.685	81.786	77.570
24	0.518	0.676	82.274	77.530
25	0.510	0.619	82.508	79.420
26	0.503	0.631	82.694	79.230
27	0.491	0.608	83.082	80.600
28	0.487	0.680	83.128	77.360
29	0.475	0.557	83.680	81.730
30	0.471	0.721	83.746	76.860
31	0.463	0.688	84.192	78.420
32	0.285	0.279	90.310	90.550
33	0.231	0.272	92.146	90.590
34	0.209	0.272	92.916	90.820
35	0.193	0.255	93.384	91.570
36	0.181	0.261	93.756	91.140
37	0.169	0.254	94.222	91.510
38	0.160	0.254	94.418	91.410
39	0.151	0.259	94.808	91.410
40	0.140	0.278	95.140	91.060
41	0.135	0.268	95.232	91.280
42	0.130	0.302	95.420	90.770
43	0.126	0.273	95.630	91.450
44	0.125	0.259	95.640	91.480
45	0.117	0.273	95.934	91.500
46	0.112	0.313	96.102	90.830
47	0.115	0.280	95.970	91.320
48	0.107	0.293	96.292	91.210
49	0.108	0.255	96.178	91.810
50	0.102	0.283	96.438	91.370
51	0.101	0.288	96.486	91.130
52	0.061	0.228	98.054	92.900
53	0.047	0.228	98.562	93.140
54	0.041	0.228	98.784	93.150
55	0.037	0.227	98.918	93.290
56	0.035	0.231	98.978	93.000
57	0.032	0.233	99.030	93.210
58	0.028	0.235	99.254	93.190
59	0.027	0.235	99.282	93.250
60	0.026	0.235	99.324	93.340
