Epoch	Train loss	Test loss	Train Acc	Test Acc
1	4.038	3.745	8.382	12.070
2	3.531	3.504	15.172	16.670
3	3.138	3.264	22.200	21.930
4	2.713	2.663	30.156	33.170
5	2.350	2.528	37.718	35.240
6	2.096	2.119	43.002	43.650
7	1.904	2.091	47.564	43.290
8	1.762	1.945	50.926	47.880
9	1.667	1.900	53.382	48.620
10	1.587	2.439	55.254	41.790
11	1.537	1.996	56.636	47.080
12	1.470	2.013	58.230	47.370
13	1.434	2.037	59.274	48.070
14	1.400	2.389	59.840	43.510
15	1.369	1.920	60.948	50.230
16	1.330	2.071	61.580	49.660
17	1.301	1.763	62.774	52.570
18	1.281	1.787	63.358	52.300
19	1.248	1.803	64.132	52.790
20	1.235	2.105	64.404	47.990
21	1.212	1.944	64.976	51.110
22	1.189	2.059	65.764	48.140
23	1.170	1.999	66.316	50.100
24	1.148	1.674	66.712	54.720
25	1.145	1.742	66.832	54.390
26	1.121	1.548	67.494	57.550
27	1.107	1.597	67.888	56.970
28	1.092	1.783	68.394	54.450
29	1.076	2.031	68.612	50.080
30	1.074	1.727	68.514	55.470
31	1.054	1.761	69.336	53.940
32	0.619	0.848	82.378	75.150
33	0.480	0.830	86.424	75.750
34	0.423	0.839	88.132	75.620
35	0.380	0.825	89.518	76.060
36	0.342	0.840	90.514	75.800
37	0.310	0.840	91.782	76.070
38	0.282	0.855	92.610	75.620
39	0.252	0.880	93.506	75.300
40	0.228	0.885	94.438	75.640
41	0.208	0.896	95.040	75.540
42	0.189	0.905	95.596	75.240
43	0.169	0.889	96.326	75.880
44	0.154	0.918	96.674	75.660
45	0.143	0.920	97.004	75.550
46	0.129	0.954	97.546	74.510
47	0.088	0.860	98.840	76.850
48	0.074	0.861	99.176	77.030
49	0.070	0.863	99.320	76.710
50	0.066	0.868	99.324	76.780
51	0.064	0.869	99.404	76.690
52	0.060	0.870	99.512	76.920
53	0.060	0.873	99.526	76.620
54	0.058	0.877	99.514	76.580
55	0.057	0.880	99.552	76.560
56	0.055	0.878	99.628	76.700
57	0.054	0.879	99.642	76.580
58	0.053	0.885	99.636	76.810
59	0.052	0.887	99.640	76.650
60	0.051	0.889	99.626	76.650
