Epoch	Train loss	Test loss	Train Acc	Test Acc
1	5.132	2.210	14.940	19.680
2	2.101	1.981	20.632	24.180
3	1.896	1.904	28.368	30.190
4	1.747	1.664	34.010	37.740
5	1.627	1.504	39.410	43.840
6	1.514	1.430	43.968	47.930
7	1.361	1.266	50.000	53.550
8	1.165	1.144	57.778	59.170
9	1.030	1.117	63.110	62.370
10	0.932	0.980	66.726	66.430
11	0.836	0.897	70.484	69.330
12	0.766	1.017	73.404	67.110
13	0.713	0.774	75.294	73.520
14	0.666	0.921	76.770	70.060
15	0.647	0.761	77.510	74.980
16	0.612	0.734	78.754	75.140
17	0.597	0.774	79.426	73.800
18	0.574	0.753	80.078	75.020
19	0.553	0.676	80.784	77.260
20	0.546	0.688	81.266	77.450
21	0.536	0.733	81.452	75.300
22	0.525	0.906	81.904	70.940
23	0.525	0.605	81.758	79.600
24	0.507	0.652	82.602	78.390
25	0.498	0.707	82.892	75.600
26	0.488	0.615	83.124	79.600
27	0.487	0.719	83.252	77.380
28	0.475	0.832	83.600	73.220
29	0.472	0.615	83.632	79.700
30	0.482	0.595	83.526	79.450
31	0.467	0.807	83.896	74.430
32	0.295	0.306	90.020	89.450
33	0.237	0.284	91.876	90.080
34	0.213	0.293	92.712	90.370
35	0.198	0.279	93.242	90.800
36	0.182	0.274	93.788	91.020
37	0.172	0.267	93.960	90.990
38	0.166	0.284	94.208	90.680
39	0.154	0.303	94.662	90.750
40	0.146	0.291	95.010	90.780
41	0.138	0.305	95.278	90.420
42	0.133	0.299	95.382	90.800
43	0.128	0.288	95.600	90.870
44	0.124	0.296	95.690	90.710
45	0.120	0.301	95.896	90.770
46	0.117	0.312	96.014	90.670
47	0.113	0.338	96.022	90.270
48	0.107	0.310	96.312	90.620
49	0.109	0.293	96.160	91.210
50	0.104	0.350	96.468	89.910
51	0.106	0.333	96.406	90.440
52	0.065	0.264	97.986	92.340
53	0.050	0.259	98.546	92.530
54	0.042	0.260	98.872	92.540
55	0.038	0.260	98.946	92.570
56	0.038	0.267	98.912	92.380
57	0.034	0.269	99.130	92.450
58	0.031	0.268	99.228	92.510
59	0.030	0.271	99.246	92.380
60	0.028	0.273	99.340	92.430
