Epoch	Train loss	Test loss	Train Acc	Test Acc
1	1.520	1.321	43.660	54.540
2	0.978	1.210	65.118	58.680
3	0.756	0.815	73.652	71.550
4	0.647	0.657	77.884	77.310
5	0.572	0.686	80.140	76.240
6	0.524	0.771	81.906	74.830
7	0.497	0.620	82.956	79.440
8	0.471	0.531	84.050	82.540
9	0.449	0.694	84.568	76.570
10	0.437	0.595	85.116	80.370
11	0.424	0.622	85.534	79.730
12	0.415	0.684	85.852	78.140
13	0.407	0.477	86.098	83.990
14	0.391	0.658	86.560	78.860
15	0.386	0.772	86.874	76.300
16	0.375	0.558	87.204	81.290
17	0.367	0.768	87.480	75.700
18	0.359	0.650	87.650	78.840
19	0.358	0.496	87.792	84.040
20	0.347	0.460	87.954	84.490
21	0.348	0.465	88.076	84.450
22	0.340	0.525	88.314	82.410
23	0.344	0.449	88.204	85.560
24	0.331	0.447	88.720	84.900
25	0.335	0.515	88.454	83.000
26	0.323	0.458	89.040	84.130
27	0.325	0.463	88.868	84.510
28	0.323	0.533	88.902	83.200
29	0.320	0.450	89.042	85.650
30	0.321	0.522	88.870	82.550
31	0.315	0.618	89.136	79.610
32	0.164	0.206	94.652	92.850
33	0.122	0.201	95.894	93.260
34	0.100	0.201	96.700	93.310
35	0.090	0.197	97.038	93.390
36	0.079	0.198	97.376	93.610
37	0.072	0.201	97.632	93.520
38	0.063	0.220	97.978	93.570
39	0.059	0.227	98.046	93.210
40	0.053	0.235	98.266	93.330
41	0.051	0.225	98.364	93.720
42	0.046	0.236	98.506	93.160
43	0.044	0.222	98.528	93.790
44	0.042	0.236	98.678	93.570
45	0.041	0.243	98.704	93.580
46	0.039	0.243	98.760	93.630
47	0.038	0.249	98.772	93.320
48	0.039	0.238	98.720	93.290
49	0.037	0.279	98.818	92.670
50	0.037	0.284	98.824	92.410
51	0.037	0.235	98.772	93.420
52	0.022	0.205	99.370	94.250
53	0.015	0.206	99.630	94.300
54	0.013	0.208	99.692	94.380
55	0.011	0.210	99.730	94.430
56	0.011	0.207	99.770	94.700
57	0.010	0.213	99.780	94.560
58	0.009	0.212	99.828	94.690
59	0.008	0.215	99.824	94.590
60	0.009	0.217	99.832	94.670
