Epoch	Train loss	Test loss	Train Acc	Test Acc
1	2.937	2.050	15.144	20.610
2	1.964	1.852	23.436	28.750
3	1.737	1.610	34.636	39.710
4	1.543	1.385	42.914	48.520
5	1.357	1.269	50.472	53.390
6	1.161	1.119	58.088	61.000
7	0.999	1.083	64.506	61.780
8	0.898	1.022	68.096	65.160
9	0.823	0.923	71.098	67.560
10	0.748	0.888	73.894	69.490
11	0.692	0.932	76.032	69.530
12	0.647	0.980	77.574	68.470
13	0.615	0.738	78.846	73.760
14	0.594	0.709	79.494	75.960
15	0.568	0.786	80.308	75.050
16	0.554	0.976	81.008	69.750
17	0.539	0.811	81.434	73.690
18	0.532	0.647	81.768	78.580
19	0.520	0.727	82.204	76.220
20	0.512	0.943	82.522	69.560
21	0.497	0.719	82.880	76.290
22	0.485	0.806	83.322	74.770
23	0.486	0.701	83.372	75.970
24	0.479	0.625	83.532	79.020
25	0.471	1.158	83.876	67.580
26	0.468	0.636	83.862	79.110
27	0.455	0.962	84.256	71.920
28	0.458	0.707	84.294	77.570
29	0.446	0.567	84.690	81.080
30	0.445	0.545	84.504	81.770
31	0.443	0.540	84.780	82.260
32	0.268	0.277	90.838	90.710
33	0.212	0.259	92.728	91.220
34	0.190	0.257	93.380	91.100
35	0.176	0.262	93.968	91.210
36	0.162	0.251	94.460	91.870
37	0.153	0.244	94.672	91.660
38	0.139	0.255	95.142	91.450
39	0.133	0.265	95.328	91.310
40	0.127	0.252	95.604	92.160
41	0.122	0.271	95.756	91.460
42	0.114	0.253	96.086	91.770
43	0.110	0.269	96.162	91.990
44	0.107	0.266	96.298	91.690
45	0.102	0.277	96.496	91.690
46	0.098	0.280	96.594	91.380
47	0.099	0.297	96.600	91.360
48	0.096	0.267	96.700	91.980
49	0.092	0.276	96.814	91.740
50	0.093	0.265	96.686	91.880
51	0.088	0.325	96.962	90.020
52	0.053	0.237	98.350	92.840
53	0.040	0.236	98.812	93.160
54	0.036	0.237	98.910	93.250
55	0.031	0.239	99.096	93.240
56	0.028	0.242	99.212	93.150
57	0.027	0.243	99.232	93.210
58	0.025	0.244	99.290	93.280
59	0.023	0.245	99.372	93.350
60	0.024	0.247	99.354	93.320
