Epoch	Train loss	Test loss	Train Acc	Test Acc
1	3.135	1.999	18.728	25.920
2	1.785	1.620	31.832	38.590
3	1.516	1.384	43.740	49.350
4	1.268	1.574	53.800	49.530
5	1.061	1.000	61.892	63.430
6	0.924	0.975	67.154	66.250
7	0.819	1.022	71.180	65.060
8	0.748	0.869	73.872	70.630
9	0.681	0.803	76.348	72.570
10	0.620	0.701	78.554	75.670
11	0.582	0.681	79.872	77.550
12	0.545	0.887	81.236	72.660
13	0.533	0.733	81.684	75.440
14	0.515	0.705	82.238	75.450
15	0.499	0.850	82.852	72.750
16	0.492	0.684	83.184	76.190
17	0.485	0.663	83.240	77.800
18	0.476	0.743	83.662	77.520
19	0.458	0.659	84.162	78.520
20	0.454	0.572	84.206	80.630
21	0.446	0.594	84.670	80.070
22	0.437	0.590	85.056	80.410
23	0.436	0.650	85.090	78.470
24	0.432	0.580	85.130	80.630
25	0.421	0.657	85.512	78.360
26	0.418	0.644	85.672	78.790
27	0.422	0.605	85.592	81.060
28	0.406	0.510	86.074	82.840
29	0.410	0.511	86.000	82.820
30	0.402	0.557	86.238	81.890
31	0.400	0.612	86.350	80.500
32	0.227	0.244	92.380	91.400
33	0.172	0.228	94.096	92.280
34	0.153	0.224	94.838	92.130
35	0.136	0.220	95.352	92.550
36	0.124	0.224	95.790	92.530
37	0.114	0.242	96.166	92.040
38	0.104	0.235	96.442	92.220
39	0.097	0.222	96.632	92.680
40	0.091	0.252	96.984	92.240
41	0.083	0.235	97.158	92.620
42	0.078	0.259	97.306	92.250
43	0.076	0.242	97.420	92.460
44	0.074	0.264	97.384	91.940
45	0.067	0.252	97.698	92.620
46	0.068	0.264	97.724	92.420
47	0.061	0.263	97.956	92.380
48	0.065	0.260	97.854	92.160
49	0.063	0.305	97.930	91.630
50	0.060	0.273	97.960	92.260
51	0.061	0.316	98.044	91.490
52	0.034	0.220	99.026	93.550
53	0.023	0.222	99.396	93.500
54	0.021	0.223	99.464	93.660
55	0.017	0.224	99.636	93.710
56	0.016	0.223	99.610	93.950
57	0.014	0.228	99.718	93.900
58	0.014	0.225	99.690	93.780
59	0.012	0.230	99.732	93.950
60	0.011	0.230	99.780	93.980
