Epoch	Train loss	Test loss	Train Acc	Test Acc
1	4.033	2.030	16.586	22.680
2	1.998	1.916	23.252	24.020
3	1.781	1.747	30.440	32.860
4	1.591	1.540	39.680	41.720
5	1.445	1.420	46.188	47.370
6	1.311	1.285	51.962	53.280
7	1.181	1.289	57.374	55.110
8	1.058	1.078	61.984	61.750
9	0.965	1.299	65.500	56.570
10	0.901	1.140	67.810	60.240
11	0.829	1.027	70.720	65.310
12	0.782	1.405	72.406	57.400
13	0.736	1.138	74.078	65.190
14	0.689	0.903	75.876	69.520
15	0.677	0.947	76.502	68.550
16	0.638	0.737	77.800	74.230
17	0.618	1.083	78.470	64.770
18	0.603	1.002	79.112	69.280
19	0.570	0.839	80.254	72.360
20	0.557	0.814	80.650	73.580
21	0.547	0.725	81.178	74.610
22	0.535	0.927	81.650	71.200
23	0.517	0.677	82.106	77.410
24	0.508	0.756	82.570	73.960
25	0.497	0.646	82.824	78.440
26	0.488	0.649	83.242	78.690
27	0.512	0.938	82.422	69.250
28	0.495	0.649	83.006	77.950
29	0.480	0.673	83.400	77.900
30	0.470	0.550	83.774	81.310
31	0.455	0.741	84.348	75.600
32	0.289	0.299	90.150	89.760
33	0.230	0.285	92.136	90.180
34	0.210	0.292	92.782	90.280
35	0.194	0.270	93.260	90.860
36	0.179	0.278	93.756	90.660
37	0.168	0.259	94.160	91.420
38	0.162	0.276	94.398	91.000
39	0.151	0.276	94.734	90.820
40	0.141	0.297	95.124	90.410
41	0.132	0.293	95.390	90.820
42	0.128	0.291	95.548	90.940
43	0.124	0.285	95.840	90.850
44	0.119	0.270	95.854	91.250
45	0.119	0.305	95.854	90.380
46	0.110	0.299	96.150	91.070
47	0.110	0.303	96.124	90.850
48	0.107	0.311	96.300	90.500
49	0.104	0.299	96.396	90.940
50	0.102	0.295	96.526	91.030
51	0.099	0.322	96.558	90.200
52	0.063	0.252	97.950	92.210
53	0.046	0.247	98.676	92.290
54	0.041	0.248	98.870	92.350
55	0.038	0.248	98.930	92.220
56	0.035	0.254	99.048	92.340
57	0.033	0.254	99.072	92.280
58	0.029	0.253	99.294	92.380
59	0.029	0.255	99.264	92.300
60	0.027	0.256	99.328	92.470
