Epoch	Train loss	Test loss	Train Acc	Test Acc
1	0.122	-0.378	5.028	8.370
2	-0.143	2.598	11.572	11.690
3	-0.310	1.311	16.904	19.580
4	-0.396	2.311	21.922	21.980
5	-0.433	1.448	25.546	27.990
6	-0.497	2.802	28.942	28.130
7	-0.488	2.704	31.484	29.040
8	-0.512	0.653	33.802	31.170
9	-0.521	2.728	35.064	31.590
10	-0.531	2.484	37.026	33.650
11	-0.560	1.997	38.562	29.510
12	-0.575	1.927	39.714	36.050
13	-0.576	1.121	40.990	39.570
14	-0.561	2.664	42.758	35.740
15	-0.600	1.887	43.192	39.820
16	-0.606	3.792	44.344	35.780
17	-0.598	3.200	44.632	37.880
18	-0.615	1.995	45.754	42.810
19	-0.606	1.772	46.744	40.520
20	-0.612	1.677	47.054	40.730
21	-0.604	2.094	47.480	42.560
22	-0.645	3.686	48.198	36.270
23	-0.618	3.773	48.070	40.250
24	-0.624	2.061	48.606	42.220
25	-0.636	2.554	49.284	42.780
26	-0.632	2.139	49.696	42.340
27	-0.641	3.318	49.398	36.230
28	-0.642	1.863	50.078	41.350
29	-0.649	6.618	50.252	34.320
30	-0.637	2.446	50.396	42.390
31	-0.633	2.267	50.708	43.730
32	-1.155	0.293	62.626	61.260
33	-1.070	0.472	65.960	62.780
34	-1.010	0.609	67.168	63.560
35	-0.928	0.686	68.362	63.550
36	-0.946	0.764	69.046	63.350
37	-0.953	0.797	69.362	63.870
38	-0.940	0.833	69.726	64.350
39	-0.942	0.835	70.312	64.180
40	-0.945	0.910	70.706	63.730
41	-0.971	1.060	71.390	63.710
42	-0.941	1.015	71.294	64.280
43	-0.951	1.104	71.590	63.750
44	-0.957	1.139	72.096	63.380
45	-0.946	1.260	72.210	63.580
46	-0.961	1.275	72.404	63.140
47	-1.037	1.028	75.804	66.540
48	-1.030	1.034	77.100	66.390
49	-1.035	1.070	77.606	66.800
50	-1.018	1.077	77.986	66.900
51	-1.050	1.065	78.180	66.910
52	-1.040	1.067	78.444	66.810
53	-1.035	1.112	78.822	66.640
54	-1.034	1.057	78.904	66.600
55	-1.030	1.143	78.872	66.820
56	-1.036	1.136	79.028	67.030
57	-0.997	1.118	79.266	66.680
58	-1.024	1.167	79.472	66.830
59	-1.045	1.196	79.402	66.990
60	-1.053	1.189	79.438	66.810
