Epoch	Train loss	Test loss	Train Acc	Test Acc
1	2.320	1.864	15.476	27.100
2	1.694	1.425	35.302	46.080
3	1.334	1.251	50.740	54.780
4	1.140	1.088	58.854	61.380
5	1.012	0.932	64.144	67.870
6	0.886	0.985	68.738	66.360
7	0.787	0.910	72.530	68.610
8	0.729	0.883	74.796	69.970
9	0.692	0.747	75.984	74.410
10	0.661	1.088	77.112	66.960
11	0.645	0.817	77.820	72.820
12	0.628	1.012	78.436	68.040
13	0.612	0.749	79.104	75.300
14	0.594	0.889	79.686	71.960
15	0.581	0.723	79.864	75.990
16	0.578	0.923	80.224	69.530
17	0.564	0.713	80.598	75.750
18	0.552	1.072	81.016	67.120
19	0.553	0.769	80.890	74.990
20	0.538	0.658	81.358	77.670
21	0.536	0.732	81.326	75.660
22	0.521	0.568	82.140	80.750
23	0.522	0.897	81.946	71.720
24	0.520	0.608	82.170	79.220
25	0.501	0.820	82.892	73.460
26	0.510	0.664	82.470	77.220
27	0.501	0.614	82.686	79.330
28	0.502	0.714	82.788	76.920
29	0.489	0.741	83.098	76.630
30	0.493	0.601	83.180	79.950
31	0.485	0.634	83.314	78.780
32	0.320	0.325	89.070	88.970
33	0.266	0.314	90.836	89.290
34	0.243	0.305	91.558	90.140
35	0.230	0.292	92.066	90.270
36	0.219	0.297	92.448	90.040
37	0.207	0.292	92.862	90.030
38	0.199	0.290	93.152	90.560
39	0.194	0.286	93.134	90.340
40	0.186	0.297	93.582	90.260
41	0.182	0.299	93.766	89.890
42	0.179	0.304	93.818	90.500
43	0.173	0.299	93.934	90.560
44	0.168	0.304	94.180	90.260
45	0.169	0.321	94.000	89.820
46	0.163	0.309	94.386	90.330
47	0.125	0.270	95.770	91.340
48	0.109	0.268	96.310	91.560
49	0.104	0.270	96.416	91.440
50	0.099	0.273	96.716	91.740
51	0.096	0.275	96.758	91.610
52	0.092	0.275	96.892	91.710
53	0.090	0.278	96.970	91.590
54	0.087	0.281	97.096	91.680
55	0.086	0.275	97.052	91.730
56	0.085	0.280	97.170	91.690
57	0.080	0.284	97.416	91.520
58	0.081	0.279	97.254	91.690
59	0.080	0.283	97.292	91.610
60	0.075	0.284	97.506	91.770
