Epoch	Train loss	Test loss	Train Acc	Test Acc
1	1.640	1.458	40.854	52.710
2	1.121	1.275	60.282	57.540
3	0.932	1.178	67.478	62.620
4	0.840	0.837	70.966	70.640
5	0.771	1.221	73.544	64.640
6	0.745	0.936	74.480	70.000
7	0.714	0.737	75.644	74.250
8	0.691	1.487	76.506	61.960
9	0.676	0.946	76.902	70.720
10	0.661	1.450	77.544	61.380
11	0.655	0.764	77.620	73.870
12	0.638	0.863	78.220	71.140
13	0.630	0.686	78.488	76.890
14	0.626	0.843	78.572	73.770
15	0.617	0.663	78.796	77.730
16	0.606	0.810	79.350	72.840
17	0.608	0.625	79.078	78.470
18	0.602	0.979	79.434	70.150
19	0.600	0.750	79.450	76.240
20	0.597	0.673	79.674	77.950
21	0.595	0.702	79.464	76.520
22	0.583	0.769	80.278	74.830
23	0.593	0.999	79.764	70.310
24	0.584	0.726	80.084	75.430
25	0.582	0.718	80.204	76.230
26	0.576	0.813	80.430	76.340
27	0.584	0.813	79.954	73.090
28	0.569	0.668	80.414	77.420
29	0.579	0.719	80.228	76.320
30	0.568	0.634	80.748	78.770
31	0.568	0.686	80.652	77.460
32	0.420	0.390	85.702	86.650
33	0.380	0.381	87.004	86.950
34	0.364	0.377	87.604	87.000
35	0.353	0.367	87.912	87.400
36	0.341	0.356	88.454	87.840
37	0.334	0.374	88.626	87.340
38	0.328	0.378	88.780	87.180
39	0.319	0.365	88.940	88.130
40	0.315	0.362	89.232	87.970
41	0.311	0.354	89.562	88.410
42	0.310	0.368	89.560	87.900
43	0.302	0.382	89.750	87.660
44	0.298	0.349	89.790	88.420
45	0.298	0.369	89.760	88.020
46	0.297	0.379	89.862	87.600
47	0.290	0.361	90.096	87.860
48	0.289	0.356	90.058	88.260
49	0.287	0.359	90.072	88.110
50	0.282	0.406	90.234	86.870
51	0.284	0.401	90.078	87.020
52	0.249	0.320	91.460	89.170
53	0.238	0.309	91.852	89.520
54	0.235	0.308	92.074	89.660
